"No.","Time","Source","Destination","Protocol","Length","Info"
"7390","541.906088639","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7392","541.906320266","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.33.17.32 A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 OPT"
"7394","541.906320308","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7420","541.955028784","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.gstatic.com OPT"
"7421","541.955219785","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A www.gstatic.com OPT"
"7423","541.955696456","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS www.gstatic.com OPT"
"7424","541.955813040","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 AAAA fonts.gstatic.com OPT"
"7430","541.956175293","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A fonts.gstatic.com OPT"
"7432","541.956630505","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS fonts.gstatic.com OPT"
"7434","541.956781090","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 AAAA www.youtube.com OPT"
"7437","541.957256218","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A www.youtube.com OPT"
"7440","541.957441803","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS fonts.gstatic.com OPT"
"7443","541.958564896","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS fonts.googleapis.com OPT"
"7479","541.968625268","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"7482","541.969442900","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"7484","541.969886528","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"7487","541.971268040","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 AAAA www.gstatic.com AAAA 2a00:1450:4003:811::2003 OPT"
"7492","541.972956512","194.156.155.239","192.168.64.11","DoH","157","Standard query response 0x0000 A www.gstatic.com A 142.250.201.67 OPT"
"7493","541.972956553","194.156.155.239","192.168.64.11","DoH","485","Standard query response 0x0000 A fonts.gstatic.com A 142.250.184.3 OPT"
"7495","541.973264347","194.156.155.239","192.168.64.11","DoH","168","Standard query response 0x0000 HTTPS fonts.gstatic.com HTTPS OPT"
"7497","541.973820769","194.156.155.239","192.168.64.11","DoH","287","Standard query response 0x0000 AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2a00:1450:4003:806::200e AAAA 2a00:1450:4003:80d::200e AAAA 2a00:1450:4003:811::200e AAAA 2a00:1450:4003:800::200e OPT"
"7499","541.974136979","194.156.155.239","192.168.64.11","DoH","383","Standard query response 0x0000 A www.youtube.com CNAME youtube-ui.l.google.com A 142.250.185.14 A 142.250.200.110 A 142.250.200.142 A 172.217.17.14 A 172.217.168.174 A 216.58.209.78 A 142.250.184.174 A 142.250.200.78 A 142.250.201.78 A 216.58.215.142 A 216.58.215.174 A 142.250.178.174 A 142.250.184.14 OPT"
"7501","541.974714942","194.156.155.239","192.168.64.11","DoH","168","Standard query response 0x0000 HTTPS fonts.gstatic.com HTTPS OPT"
"7511","541.977892260","194.156.155.239","192.168.64.11","DoH","203","Standard query response 0x0000 HTTPS fonts.googleapis.com SOA ns1.google.com OPT"
"7548","541.985527571","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7553","541.986118118","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.33.17.32 A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 OPT"
"7568","541.987773589","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7585","541.987996133","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA youtube-ui.l.google.com OPT"
"7588","541.988824806","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A youtube-ui.l.google.com OPT"
"7605","542.005719734","194.156.155.239","192.168.64.11","DoH","261","Standard query response 0x0000 AAAA youtube-ui.l.google.com AAAA 2a00:1450:4003:806::200e AAAA 2a00:1450:4003:80d::200e AAAA 2a00:1450:4003:811::200e AAAA 2a00:1450:4003:800::200e OPT"
"7607","542.005719776","194.156.155.239","192.168.64.11","DoH","357","Standard query response 0x0000 A youtube-ui.l.google.com A 142.250.185.14 A 142.250.200.110 A 142.250.200.142 A 172.217.17.14 A 172.217.168.174 A 216.58.209.78 A 142.250.184.174 A 142.250.200.78 A 142.250.201.78 A 216.58.215.142 A 216.58.215.174 A 142.250.178.174 A 142.250.184.14 OPT"
"7610","542.022053616","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"7611","542.022759163","192.168.64.11","194.156.155.239","DoH","482","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"7648","542.039157628","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7657","542.041502231","194.156.155.239","192.168.64.11","DoH","261","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7658","542.041502272","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.33.17.32 A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 OPT"
"7738","542.103777941","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA fonts.googleapis.com OPT"
"7741","542.104483738","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A fonts.googleapis.com OPT"
"7744","542.104784407","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS fonts.googleapis.com OPT"
"7746","542.104986659","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"7749","542.105490246","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A incoming.telemetry.mozilla.org OPT"
"7771","542.120661994","194.156.155.239","192.168.64.11","DoH","174","Standard query response 0x0000 AAAA fonts.googleapis.com AAAA 2a00:1450:4003:807::200a OPT"
"7776","542.123460224","194.156.155.239","192.168.64.11","DoH","162","Standard query response 0x0000 A fonts.googleapis.com A 142.250.178.170 OPT"
"7778","542.123460266","194.156.155.239","192.168.64.11","DoH","203","Standard query response 0x0000 HTTPS fonts.googleapis.com SOA ns1.google.com OPT"
"7780","542.123460308","194.156.155.239","192.168.64.11","DoH","231","Standard query response 0x0000 A incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com A 34.120.208.123 OPT"
"7782","542.123460349","194.156.155.239","192.168.64.11","DoH","294","Standard query response 0x0000 AAAA incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com SOA ns-1507.awsdns-60.org OPT"
"7787","542.134409021","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"7790","542.140248735","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"7792","542.140776239","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"7793","542.140925115","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"7795","542.143886472","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA i.ytimg.com OPT"
"7797","542.144597186","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A i.ytimg.com OPT"
"7798","542.146130282","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS i.ytimg.com OPT"
"7801","542.151273282","194.156.155.239","192.168.64.11","DoH","294","Standard query response 0x0000 HTTPS incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com SOA ns-1507.awsdns-60.org OPT"
"7805","542.157158204","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7808","542.157988836","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.33.17.32 A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 OPT"
"7810","542.158230796","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7813","542.159446264","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA fonts.googleapis.com OPT"
"7814","542.159551307","192.168.64.11","194.156.155.239","DoH","482","Standard query 0x0000 HTTPS fonts.googleapis.com OPT"
"7817","542.161825950","194.156.155.239","192.168.64.11","DoH","249","Standard query response 0x0000 AAAA i.ytimg.com AAAA 2a00:1450:4003:80f::2016 AAAA 2a00:1450:4003:808::2016 AAAA 2a00:1450:4003:803::2016 AAAA 2a00:1450:4003:80e::2016 OPT"
"7821","542.163121586","194.156.155.239","192.168.64.11","DoH","313","Standard query response 0x0000 A i.ytimg.com A 216.58.215.182 A 142.250.184.22 A 142.250.185.22 A 142.250.200.118 A 142.250.200.150 A 172.217.168.182 A 216.58.209.86 A 142.250.184.182 A 142.250.200.86 A 142.250.201.86 A 216.58.215.150 OPT"
"7824","542.164354637","194.156.155.239","192.168.64.11","DoH","194","Standard query response 0x0000 HTTPS i.ytimg.com SOA ns1.google.com OPT"
"7832","542.171663363","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"7834","542.171988616","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"7836","542.172218117","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"7840","542.176659528","194.156.155.239","192.168.64.11","DoH","174","Standard query response 0x0000 AAAA fonts.googleapis.com AAAA 2a00:1450:4003:807::200a OPT"
"7843","542.177358700","194.156.155.239","192.168.64.11","DoH","162","Standard query response 0x0000 A fonts.googleapis.com A 142.250.178.170 OPT"
"7845","542.177358742","194.156.155.239","192.168.64.11","DoH","203","Standard query response 0x0000 HTTPS fonts.googleapis.com SOA ns1.google.com OPT"
"7854","542.189021544","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7855","542.189021628","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.33.17.32 A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 OPT"
"7857","542.189021669","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"7942","542.337641784","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA fonts.gstatic.com OPT"
"7943","542.338468541","192.168.64.11","194.156.155.239","DoH","482","Standard query 0x0000 HTTPS fonts.gstatic.com OPT"
"7948","542.354929048","194.156.155.239","192.168.64.11","DoH","171","Standard query response 0x0000 AAAA fonts.gstatic.com AAAA 2a00:1450:4003:807::2003 OPT"
"7951","542.356024640","194.156.155.239","192.168.64.11","DoH","159","Standard query response 0x0000 A fonts.gstatic.com A 142.250.184.3 OPT"
"7953","542.356024682","194.156.155.239","192.168.64.11","DoH","168","Standard query response 0x0000 HTTPS fonts.gstatic.com HTTPS OPT"
"7959","542.542387434","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA img-eu.kwcdn.com OPT"
"7961","542.542672395","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A img-eu.kwcdn.com OPT"
"7963","542.542825729","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS img-eu.kwcdn.com OPT"
"7966","542.559600573","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA img-eu.kwcdn.com CNAME img-eu.kwcdn.com.cdn.cloudflare.net AAAA 2606:4700:4400::ac40:9869 AAAA 2606:4700:4400::6812:2397 OPT"
"7970","542.560361954","194.156.155.239","192.168.64.11","DoH","223","Standard query response 0x0000 A img-eu.kwcdn.com CNAME img-eu.kwcdn.com.cdn.cloudflare.net A 104.18.35.151 A 172.64.152.105 OPT"
"7972","542.560479497","194.156.155.239","192.168.64.11","DoH","246","Standard query response 0x0000 HTTPS img-eu.kwcdn.com CNAME img-eu.kwcdn.com.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"7975","542.583844477","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA safebrowsing.googleapis.com OPT"
"7977","542.584060145","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A safebrowsing.googleapis.com OPT"
"7979","542.584261980","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A safebrowsing.googleapis.com OPT"
"7982","542.600683571","194.156.155.239","192.168.64.11","DoH","181","Standard query response 0x0000 AAAA safebrowsing.googleapis.com AAAA 2a00:1450:4003:80e::200a OPT"
"7986","542.602766962","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 142.250.200.106 OPT"
"7988","542.602767004","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 142.250.200.106 OPT"
"8006","542.692335976","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"8008","542.692679312","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"8009","542.693064940","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS www.temu.com OPT"
"8019","542.700890962","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"8020","542.701319965","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A eu.pftk.temu.com OPT"
"8021","542.701570925","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"8025","542.710447372","194.156.155.239","192.168.64.11","DoH","274","Standard query response 0x0000 A www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net A 172.64.144.50 A 104.18.43.206 OPT"
"8026","542.710447372","194.156.155.239","192.168.64.11","DoH","297","Standard query response 0x0000 HTTPS www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"8030","542.718264227","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8036","542.719727738","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 A 20.33.17.32 OPT"
"8038","542.719727822","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8041","542.722311759","194.156.155.239","192.168.64.11","DoH","297","Standard query response 0x0000 AAAA www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"8051","542.733209097","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"8053","542.733496766","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"8055","542.733751060","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS www.temu.com OPT"
"8059","542.750120525","194.156.155.239","192.168.64.11","DoH","297","Standard query response 0x0000 AAAA www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"8062","542.750120567","194.156.155.239","192.168.64.11","DoH","274","Standard query response 0x0000 A www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net A 172.64.144.50 A 104.18.43.206 OPT"
"8066","542.764171722","194.156.155.239","192.168.64.11","DoH","297","Standard query response 0x0000 HTTPS www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"8079","542.894780733","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"8080","542.895016193","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A eu.pftk.temu.com OPT"
"8082","542.895264487","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"8084","542.897336670","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA safebrowsing.googleapis.com OPT"
"8085","542.897600255","192.168.64.11","194.156.155.239","DoH","482","Standard query 0x0000 A safebrowsing.googleapis.com OPT"
"8088","542.911896871","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8090","542.912102581","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 A 20.33.17.32 OPT"
"8093","542.912466625","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8097","542.914487392","194.156.155.239","192.168.64.11","DoH","181","Standard query response 0x0000 AAAA safebrowsing.googleapis.com AAAA 2a00:1450:4003:80e::200a OPT"
"8099","542.917298956","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 142.250.200.106 OPT"
"8101","542.917298998","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 142.250.200.106 OPT"
"8262","543.062135832","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"8264","543.062776753","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"8266","543.063468051","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"8268","543.063938471","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA safebrowsing.googleapis.com OPT"
"8269","543.064292599","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A safebrowsing.googleapis.com OPT"
"8271","543.064889937","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A safebrowsing.googleapis.com OPT"
"8273","543.066635243","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA googleads.g.doubleclick.net OPT"
"8275","543.066895453","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A googleads.g.doubleclick.net OPT"
"8277","543.067215081","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS googleads.g.doubleclick.net OPT"
"8279","543.070504857","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"8281","543.071759118","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"8283","543.072153162","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS www.temu.com OPT"
"8289","543.081698823","194.156.155.239","192.168.64.11","DoH","261","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8290","543.081698948","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 A 20.33.17.32 OPT"
"8292","543.081698989","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8295","543.081699073","194.156.155.239","192.168.64.11","DoH","181","Standard query response 0x0000 AAAA safebrowsing.googleapis.com AAAA 2a00:1450:4003:80e::200a OPT"
"8297","543.081720073","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 142.250.200.106 OPT"
"8299","543.083782756","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 142.250.200.106 OPT"
"8307","543.087228326","194.156.155.239","192.168.64.11","DoH","181","Standard query response 0x0000 AAAA googleads.g.doubleclick.net AAAA 2a00:1450:4003:802::2002 OPT"
"8309","543.087228409","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A googleads.g.doubleclick.net A 142.250.184.162 OPT"
"8311","543.087228451","194.156.155.239","192.168.64.11","DoH","178","Standard query response 0x0000 HTTPS googleads.g.doubleclick.net HTTPS OPT"
"8316","543.090558269","194.156.155.239","192.168.64.11","DoH","274","Standard query response 0x0000 A www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net A 172.64.144.50 A 104.18.43.206 OPT"
"8318","543.091669861","194.156.155.239","192.168.64.11","DoH","297","Standard query response 0x0000 HTTPS www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"8331","543.099970178","194.156.155.239","192.168.64.11","DoH","297","Standard query response 0x0000 AAAA www.temu.com CNAME temu-gtm.trafficmanager.net CNAME www-cf.temu.com CNAME www.temu.com.cdn.cloudflare.net SOA ns1.cloudflare.net OPT"
"8334","543.104542882","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.youtube.com OPT"
"8335","543.104747967","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A www.youtube.com OPT"
"8336","543.104852926","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS www.youtube.com OPT"
"8349","543.122442276","194.156.155.239","192.168.64.11","DoH","287","Standard query response 0x0000 AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2a00:1450:4003:80d::200e AAAA 2a00:1450:4003:811::200e AAAA 2a00:1450:4003:800::200e AAAA 2a00:1450:4003:806::200e OPT"
"8351","543.123867621","194.156.155.239","192.168.64.11","DoH","190","Standard query response 0x0000 HTTPS www.youtube.com CNAME youtube-ui.l.google.com HTTPS OPT"
"8353","543.123867704","194.156.155.239","192.168.64.11","DoH","383","Standard query response 0x0000 A www.youtube.com CNAME youtube-ui.l.google.com A 142.250.200.110 A 142.250.200.142 A 172.217.17.14 A 172.217.168.174 A 216.58.209.78 A 142.250.184.174 A 142.250.200.78 A 142.250.201.78 A 216.58.215.142 A 216.58.215.174 A 142.250.178.174 A 142.250.184.14 A 142.250.185.14 OPT"
"8360","543.132369273","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA youtube-ui.l.google.com OPT"
"8361","543.132599691","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A youtube-ui.l.google.com OPT"
"8371","543.149374326","194.156.155.239","192.168.64.11","DoH","261","Standard query response 0x0000 AAAA youtube-ui.l.google.com AAAA 2a00:1450:4003:80d::200e AAAA 2a00:1450:4003:811::200e AAAA 2a00:1450:4003:800::200e AAAA 2a00:1450:4003:806::200e OPT"
"8374","543.150173500","194.156.155.239","192.168.64.11","DoH","357","Standard query response 0x0000 A youtube-ui.l.google.com A 142.250.200.110 A 142.250.200.142 A 172.217.17.14 A 172.217.168.174 A 216.58.209.78 A 142.250.184.174 A 142.250.200.78 A 142.250.201.78 A 216.58.215.142 A 216.58.215.174 A 142.250.178.174 A 142.250.184.14 A 142.250.185.14 OPT"
"8378","543.155003705","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"8380","543.155537293","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"8382","543.155947129","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"8399","543.173535479","194.156.155.239","192.168.64.11","DoH","260","Standard query response 0x0000 A eu.pftk.temu.com CNAME pftk-eu.temu.com A 20.67.210.244 A 4.207.234.37 A 20.93.45.131 A 20.82.200.37 A 20.33.40.121 A 20.33.17.32 OPT"
"8400","543.173535479","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 AAAA eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8402","543.173535521","194.156.155.239","192.168.64.11","DoH","247","Standard query response 0x0000 HTTPS eu.pftk.temu.com CNAME pftk-eu.temu.com SOA ns1-35.azure-dns.com OPT"
"8436","543.225606233","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.google.com OPT"
"8437","543.225718025","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 A www.google.com OPT"
"8438","543.225820193","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS www.google.com OPT"
"8441","543.241857155","194.156.155.239","192.168.64.11","DoH","173","Standard query response 0x0000 A www.google.com A 142.250.200.100 OPT"
"8442","543.241857239","194.156.155.239","192.168.64.11","DoH","165","Standard query response 0x0000 HTTPS www.google.com HTTPS OPT"
"8445","543.243535294","194.156.155.239","192.168.64.11","DoH","168","Standard query response 0x0000 AAAA www.google.com AAAA 2a00:1450:4003:80e::2004 OPT"
"8537","543.447972317","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA play.google.com OPT"
"8539","543.448662447","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 A play.google.com OPT"
"8540","543.449169910","192.168.64.11","194.156.155.239","DoH","274","Standard query 0x0000 HTTPS play.google.com OPT"
"8547","543.460078914","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.youtube.com OPT"
"8548","543.460358500","192.168.64.11","194.156.155.239","DoH","482","Standard query 0x0000 HTTPS www.youtube.com OPT"
"8552","543.466834510","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 AAAA play.google.com AAAA 2a00:1450:4003:801::200e OPT"
"8554","543.466834552","194.156.155.239","192.168.64.11","DoH","157","Standard query response 0x0000 A play.google.com A 216.58.209.78 OPT"
